code,name
000001,平安银行
000002,万 科Ａ
000006,深振业Ａ
000009,中国宝安
000012,南 玻Ａ
000021,深科技
000027,深圳能源
000028,国药一致
000029,深深房Ａ
000031,大悦城
000032,深桑达Ａ
000034,神州数码
000035,中国天楹
000039,中集集团
000049,德赛电池
000050,深天马Ａ
000060,中金岭南
000061,农 产 品
000062,深圳华强
000063,中兴通讯
000065,北方国际
000066,中国长城
000069,华侨城Ａ
000070,特发信息
000088,盐 田 港
000089,深圳机场
000099,中信海直
000100,TCL科技
000155,川能动力
000156,华数传媒
000157,中联重科
000158,常山北明
000166,申万宏源
000301,东方盛虹
000333,美的集团
000338,潍柴动力
000400,许继电气
000401,金隅冀东
000403,派林生物
000408,藏格矿业
000410,沈阳机床
000415,渤海租赁
000420,吉林化纤
000422,湖北宜化
000423,东阿阿胶
000425,徐工机械
000426,兴业银锡
000429,粤高速Ａ
000506,招金黄金
000510,新金路
000513,丽珠集团
000519,中兵红箭
000528,柳 工
000534,万泽股份
000536,华映科技
000537,绿发电力
000538,云南白药
000539,粤电力Ａ
000543,皖能电力
000547,航天发展
000550,江铃汽车
000552,甘肃能化
000553,安道麦A
000555,神州信息
000559,万向钱潮
000563,陕国投Ａ
000564,供销大集
000567,海德股份
000568,泸州老窖
000581,威孚高科
000582,北部湾港
000591,太阳能
000592,平潭发展
000596,古井贡酒
000598,兴蓉环境
000599,青岛双星
000600,建投能源
000603,盛达资源
000612,焦作万方
000617,中油资本
000620,盈新发展
000623,吉林敖东
000625,长安汽车
000628,高新发展
000629,钒钛股份
000630,铜陵有色
000636,风华高科
000651,格力电器
000657,中钨高新
000661,长春高新
000672,上峰水泥
000680,山推股份
000681,视觉中国
000682,东方电子
000683,博源化工
000685,中山公用
000686,东北证券
000688,国城矿业
000690,宝新能源
000697,炼石航空
000700,模塑科技
000703,恒逸石化
000708,中信特钢
000709,河钢股份
000719,中原传媒
000723,美锦能源
000725,京东方Ａ
000727,冠捷科技
000728,国元证券
000729,燕京啤酒
000733,振华科技
000737,北方铜业
000738,航发控制
000739,普洛药业
000750,国海证券
000758,中色股份
000761,本钢板材
000762,西藏矿业
000766,通化金马
000767,晋控电力
000768,中航西飞
000776,广发证券
000778,新兴铸管
000783,长江证券
000785,居然智家
000786,北新建材
000791,甘肃能源
000792,盐湖股份
000799,酒鬼酒
000800,一汽解放
000801,四川九洲
000807,云铝股份
000810,创维数字
000811,冰轮环境
000815,美利云
000825,太钢不锈
000828,东莞控股
000830,鲁西化工
000831,中国稀土
000833,粤桂股份
000837,秦川机床
000839,国安股份
000858,五 粮 液
000869,张 裕Ａ
000875,电投绿能
000876,新 希 望
000877,天山股份
000878,云南铜业
000880,潍柴重机
000883,湖北能源
000887,中鼎股份
000893,亚钾国际
000895,双汇发展
000898,鞍钢股份
000899,赣能股份
000901,航天科技
000902,新洋丰
000905,厦门港务
000917,电广传媒
000921,海信家电
000922,佳电股份
000923,河钢资源
000927,中国铁物
000932,华菱钢铁
000933,神火股份
000935,四川双马
000937,冀中能源
000938,紫光股份
000949,新乡化纤
000950,重药控股
000951,中国重汽
000958,电投产融
000959,首钢股份
000960,锡业股份
000962,东方钽业
000963,华东医药
000966,长源电力
000967,盈峰环境
000969,安泰科技
000970,中科三环
000973,佛塑科技
000975,山金国际
000977,浪潮信息
000980,众泰汽车
000981,山子高科
000983,山西焦煤
000987,越秀资本
000988,华工科技
000990,诚志股份
000997,新 大 陆
000998,隆平高科
000999,华润三九
001203,大中矿业
001208,华菱线缆
001212,中旗新材
001213,中铁特货
001221,悍高集团
001227,兰州银行
001233,海安集团
001237,C惠康
001257,盛龙股份
001267,汇绿生态
001270,铖昌科技
001280,中国铀业
001286,陕西能源
001287,中电港
001289,龙源电力
001301,尚太科技
001308,康冠科技
001309,德明利
001330,博纳影业
001331,胜通能源
001337,四川黄金
001339,智微智能
001359,平安电工
001365,天海电子
001369,双欣材料
001386,马可波罗
001389,广合科技
001391,国货航
001393,维通利
001696,宗申动力
001872,招商港口
001896,豫能控股
001914,招商积余
001965,招商公路
001979,招商蛇口
002001,新 和 成
002003,伟星股份
002007,华兰生物
002008,大族激光
002010,传化智联
002011,盾安环境
002015,协鑫能科
002019,亿帆医药
002020,京新药业
002025,航天电器
002027,分众传媒
002028,思源电气
002031,巨轮智能
002032,苏 泊 尔
002034,旺能环境
002036,联创电子
002043,兔 宝 宝
002044,美年健康
002046,国机精工
002048,宁波华翔
002049,紫光国微
002050,三花智控
002051,中工国际
002053,云南能投
002056,横店东磁
002060,广东建工
002062,宏润建设
002063,远光软件
002064,华峰化学
002065,东华软件
002074,国轩高科
002077,大港股份
002078,太阳纸业
002079,苏州固锝
002080,中材科技
002081,金 螳 螂
002085,万丰奥威
002091,江苏国泰
002092,中泰化学
002096,易普力
002115,三维通信
002120,韵达股份
002121,科陆电子
002126,银轮股份
002128,电投能源
002129,TCL中环
002130,沃尔核材
002131,利欧股份
002138,顺络电子
002139,拓邦股份
002142,宁波银行
002145,钛能化学
002149,西部材料
002150,正泰电源
002151,北斗星通
002152,广电运通
002153,石基信息
002155,湖南黄金
002156,通富微电
002157,正邦科技
002158,汉钟精机
002167,东方锆业
002169,智光电气
002170,芭田股份
002171,楚江新材
002174,游族网络
002176,江特电机
002179,中航光电
002180,奔图科技
002181,粤 传 媒
002182,宝武镁业
002183,怡 亚 通
002185,华天科技
002192,融捷股份
002195,岩山科技
002202,金风科技
002203,海亮股份
002204,大连重工
002208,合肥城建
002216,三全食品
002217,合力泰
002221,东华能源
002222,福晶科技
002223,鱼跃医疗
002226,江南化工
002230,科大讯飞
002236,大华股份
002237,恒邦股份
002240,盛新锂能
002241,歌尔股份
002243,力合科创
002244,滨江集团
002245,蔚蓝锂芯
002246,北化股份
002249,大洋电机
002250,联化科技
002251,步步高
002252,上海莱士
002254,泰和新材
002258,利尔化学
002261,拓维信息
002262,恩华药业
002265,建设工业
002266,浙富控股
002268,电科网安
002270,华明装备
002271,东方雨虹
002272,川润股份
002273,水晶光电
002276,万马股份
002277,友阿股份
002281,光迅科技
002283,天润工业
002287,奇正藏药
002290,禾盛新材
002292,奥飞娱乐
002294,信立泰
002297,博云新材
002299,圣农发展
002304,洋河股份
002309,中利集团
002310,东方新能
002311,海大集团
002312,川发龙蟒
002315,焦点科技
002317,众生药业
002318,久立特材
002320,海峡股份
002324,普利特
002326,永太科技
002335,科华数据
002338,奥普光电
002340,格林美
002342,巨力索具
002348,高乐股份
002352,顺丰控股
002353,杰瑞股份
002354,天娱数科
002361,神剑股份
002364,中恒电气
002366,融发核电
002371,北方华创
002372,伟星新材
002373,千方科技
002378,章源钨业
002379,宏桥控股
002380,科远智慧
002384,东山精密
002385,大北农
002387,维信诺
002389,航天彩虹
002392,北京利尔
002396,星网锐捷
002399,海普瑞
002400,省广集团
002402,和而泰
002405,四维图新
002407,多氟多
002408,齐翔腾达
002409,雅克科技
002410,广联达
002413,雷科防务
002414,高德红外
002415,海康威视
002416,爱施德
002422,科伦药业
002423,中粮资本
002426,胜利精密
002428,云南锗业
002429,兆驰股份
002430,杭氧股份
002432,九安医疗
002436,兴森科技
002439,启明星辰
002440,闰土股份
002444,巨星科技
002456,欧菲光
002458,益生股份
002459,晶澳科技
002460,赣锋锂业
002461,珠江啤酒
002463,沪电股份
002465,海格通信
002466,天齐锂业
002468,申通快递
002471,中超控股
002472,双环传动
002475,立讯精密
002484,江海股份
002487,大金重工
002488,金固股份
002491,通鼎互联
002493,荣盛石化
002497,雅化集团
002498,汉缆股份
002500,山西证券
002506,协鑫集成
002507,涪陵榨菜
002508,老板电器
002517,恺英网络
002518,科士达
002531,天顺风能
002532,天山铝业
002534,西子洁能
002536,飞龙股份
002539,云图控股
002541,鸿路钢构
002544,普天科技
002545,东方铁塔
002549,凯美特气
002552,宝鼎科技
002555,三七互娱
002557,洽洽食品
002558,巨人网络
002563,森马服饰
002565,顺灏股份
002568,百润股份
002579,中京电子
002580,圣阳股份
002583,海能达
002585,双星新材
002588,史丹利
002594,比亚迪
002595,豪迈科技
002597,金禾实业
002600,领益智造
002601,龙佰集团
002602,世纪华通
002603,以岭药业
002607,中公教育
002608,江苏国信
002611,东方精工
002617,露笑科技
002624,完美世界
002625,光启技术
002635,安洁科技
