code,name,market_cap
000001,平安银行,208419561446.52002
000002,万 科Ａ,39729262538.43
000006,深振业Ａ,12986952342.52
000009,中国宝安,18983014782.4
000012,南 玻Ａ,13386862768.4
000021,深科技,66985298279.0
000027,深圳能源,37488232538.08
000028,国药一致,12884481532.55
000029,深深房Ａ,25372432799.999996
000031,大悦城,10758646480.89
000032,深桑达Ａ,20840325183.649998
000034,神州数码,25987865786.28
000035,中国天楹,14352076941.69
000039,中集集团,58562771381.1
000049,德赛电池,10050604893.42
000050,深天马Ａ,19656709083.93
000060,中金岭南,33397616884.16
000061,农 产 品,12664052443.240002
000062,深圳华强,32402270795.56
000063,中兴通讯,167184544300.65
000065,北方国际,14367039506.83
000066,中国长城,59290187237.44
000069,华侨城Ａ,15191362720.17
000070,特发信息,14953726581.78
000088,盐 田 港,23033711222.780003
000089,深圳机场,13883709575.93
000099,中信海直,12350260581.04
000100,TCL科技,94435915509.38
000155,川能动力,25569431536.7
000156,华数传媒,12933468445.16
000157,中联重科,61923512289.76
000158,常山北明,24874476178.76
000166,申万宏源,109424557727.2
000301,东方盛虹,80194247131.85
000333,美的集团,601305356274.0
000338,潍柴动力,299450339547.97
000400,许继电气,27105538045.89
000401,金隅冀东,10526540250.599998
000403,派林生物,12146078593.08
000408,藏格矿业,121826230648.1
000410,沈阳机床,14225522058.33
000415,渤海租赁,25851298958.760002
000420,吉林化纤,11114084910.359999
000422,湖北宜化,15421951216.16
000423,东阿阿胶,31484026925.36
000425,徐工机械,107157575608.35
000426,兴业银锡,69089986604.49
000429,粤高速Ａ,28727676171.24
000506,招金黄金,13340695047.96
000510,新金路,11524619576.53
000513,丽珠集团,26752643062.23
000519,中兵红箭,26820685993.32
000528,柳 工,18210446538.0
000534,万泽股份,16896628790.56
000536,华映科技,11755639412.750002
000537,绿发电力,21955067161.32
000538,云南白药,88160415214.23001
000539,粤电力Ａ,42369791767.020004
000543,皖能电力,21784556610.91
000547,航天发展,34383052466.19
000550,江铃汽车,14312088120.0
000552,甘肃能化,14503417918.3
000553,安道麦A,14631217890.48
000555,神州信息,12558217004.189999
000559,万向钱潮,50492909102.12
000563,陕国投Ａ,15086212556.1
000564,供销大集,30518127068.26
000567,海德股份,11864374380.85
000568,泸州老窖,132327582473.70001
000581,威孚高科,18484942450.16
000582,北部湾港,33552736118.399998
000591,太阳能,23702434716.84
000592,平潭发展,17192849938.8
000596,古井贡酒,48948360000.0
000598,兴蓉环境,20589660174.9
000599,青岛双星,11777148394.44
000600,建投能源,21819135949.6
000603,盛达资源,21520143901.74
000612,焦作万方,14020264873.44
