code,name,latest_date,benchmark,score,category,action,close,spread,spread_slope_60,spread_slope_120,spread_slope_250,below_zero_ratio_250,spread_breakout_level,price_breakout_level,volume_ratio,market_status,risk_flags,reason,score_positive_items,score_negative_items,missing_conditions,data_source
002747,埃斯顿,2026-05-26,000300,100,A+类,重点关注，等待突破后回踩确认或小仓试错,30.03,14.314,0.1847,-0.02206,-0.04201,0.748,250日,250日,2.289,强,,差价位于零轴上方；60日差价斜率转正；长期弱势但短期转强；差价站上60日均线；差价突破60日高点；差价突破120日高点；差价突破250日高点；股价站上20日线；个股20日线高于60日线；股价突破60日高点；股价突破120日高点；股价突破250日高点；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍；成交量超过20日均量1.5倍,spread_above_zero:+8|spread_slope_60_positive:+10|long_weak_short_turn_positive:+10|spread_above_ma60:+6|spread_breakout_60:+8|spread_breakout_120:+10|spread_breakout_250:+7|stock_above_ma20:+6|stock_ma20_above_ma60:+6|price_breakout_60:+6|price_breakout_120:+7|price_breakout_250:+7|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5|volume_ratio_above_1_5:+5,,120日差价斜率未转正|250日差价斜率未转正,cache
603989,艾华集团,2026-05-26,000300,100,A+类,重点关注，等待突破后回踩确认或小仓试错,31.75,-19.823,0.19316,0.0946,-0.02463,1.0,250日,250日,2.509,强,一年内涨幅过大、相对强度过热,60日差价斜率转正；120日差价斜率转正；长期弱势但短期转强；差价站上60日均线；差价突破60日高点；差价突破120日高点；差价突破250日高点；股价站上20日线；个股20日线高于60日线；股价突破60日高点；股价突破120日高点；股价突破250日高点；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍；成交量超过20日均量1.5倍,spread_slope_60_positive:+10|spread_slope_120_positive:+10|long_weak_short_turn_positive:+10|spread_above_ma60:+6|spread_breakout_60:+8|spread_breakout_120:+10|spread_breakout_250:+7|stock_above_ma20:+6|stock_ma20_above_ma60:+6|price_breakout_60:+6|price_breakout_120:+7|price_breakout_250:+7|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5|volume_ratio_above_1_5:+5,risk_price_double_from_250_low:-5|risk_spread_zscore_hot:-5,差价未站上零轴|250日差价斜率未转正,cache
688055,龙腾光电,2026-05-26,000300,100,A+类,重点关注，等待突破后回踩确认或小仓试错,5.97,-14.09,0.12027,0.0956,-0.03331,1.0,250日,250日,2.61,强,相对强度过热,60日差价斜率转正；120日差价斜率转正；长期弱势但短期转强；差价站上60日均线；差价突破60日高点；差价突破120日高点；差价突破250日高点；股价站上20日线；个股20日线高于60日线；股价突破60日高点；股价突破120日高点；股价突破250日高点；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍；成交量超过20日均量1.5倍,spread_slope_60_positive:+10|spread_slope_120_positive:+10|long_weak_short_turn_positive:+10|spread_above_ma60:+6|spread_breakout_60:+8|spread_breakout_120:+10|spread_breakout_250:+7|stock_above_ma20:+6|stock_ma20_above_ma60:+6|price_breakout_60:+6|price_breakout_120:+7|price_breakout_250:+7|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5|volume_ratio_above_1_5:+5,risk_spread_zscore_hot:-5,差价未站上零轴|250日差价斜率未转正,cache
300151,昌红科技,2026-05-26,000300,98,A+类,重点关注，等待突破后回踩确认或小仓试错,23.95,-37.218,0.05426,0.09637,-0.00436,1.0,250日,250日,1.353,强,一年内涨幅过大、相对强度过热,60日差价斜率转正；120日差价斜率转正；长期弱势但短期转强；差价站上60日均线；差价突破60日高点；差价突破120日高点；差价突破250日高点；股价站上20日线；个股20日线高于60日线；股价突破60日高点；股价突破120日高点；股价突破250日高点；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍,spread_slope_60_positive:+10|spread_slope_120_positive:+10|long_weak_short_turn_positive:+10|spread_above_ma60:+6|spread_breakout_60:+8|spread_breakout_120:+10|spread_breakout_250:+7|stock_above_ma20:+6|stock_ma20_above_ma60:+6|price_breakout_60:+6|price_breakout_120:+7|price_breakout_250:+7|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5,risk_price_double_from_250_low:-5|risk_spread_zscore_hot:-5,差价未站上零轴|250日差价斜率未转正,cache
002185,华天科技,2026-05-26,000300,100,B类,同步转强，等待突破延续或回踩确认,18.67,47.681,0.05047,0.18554,0.08925,0.568,250日,250日,2.226,强,一年内涨幅过大、相对强度过热,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；差价突破60日高点；差价突破120日高点；差价突破250日高点；股价站上20日线；个股20日线高于60日线；股价突破60日高点；股价突破120日高点；股价突破250日高点；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍；成交量超过20日均量1.5倍,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|spread_breakout_60:+8|spread_breakout_120:+10|spread_breakout_250:+7|stock_above_ma20:+6|stock_ma20_above_ma60:+6|price_breakout_60:+6|price_breakout_120:+7|price_breakout_250:+7|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5|volume_ratio_above_1_5:+5,risk_price_double_from_250_low:-5|risk_spread_zscore_hot:-5,,cache
002897,意华股份,2026-05-26,000300,100,B类,同步转强，等待突破延续或回踩确认,81.3,60.347,0.02504,0.41134,0.19179,0.468,250日,250日,2.088,强,一年内涨幅过大、相对强度过热,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；差价突破60日高点；差价突破120日高点；差价突破250日高点；股价站上20日线；个股20日线高于60日线；股价突破60日高点；股价突破120日高点；股价突破250日高点；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍；成交量超过20日均量1.5倍,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|spread_breakout_60:+8|spread_breakout_120:+10|spread_breakout_250:+7|stock_above_ma20:+6|stock_ma20_above_ma60:+6|price_breakout_60:+6|price_breakout_120:+7|price_breakout_250:+7|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5|volume_ratio_above_1_5:+5,risk_price_double_from_250_low:-5|risk_spread_zscore_hot:-5,,cache
002957,科瑞技术,2026-05-26,000300,100,B类,同步转强，等待突破延续或回踩确认,52.82,119.931,1.76848,1.01173,0.36248,0.648,250日,250日,2.258,强,一年内涨幅过大、相对强度过热,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；差价突破60日高点；差价突破120日高点；差价突破250日高点；股价站上20日线；个股20日线高于60日线；股价突破60日高点；股价突破120日高点；股价突破250日高点；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍；成交量超过20日均量1.5倍,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|spread_breakout_60:+8|spread_breakout_120:+10|spread_breakout_250:+7|stock_above_ma20:+6|stock_ma20_above_ma60:+6|price_breakout_60:+6|price_breakout_120:+7|price_breakout_250:+7|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5|volume_ratio_above_1_5:+5,risk_price_double_from_250_low:-5|risk_spread_zscore_hot:-5,,cache
300222,科大智能,2026-05-26,000300,100,B类,同步转强，等待突破延续或回踩确认,16.57,39.574,0.09402,0.07873,-0.01602,0.172,250日,250日,2.721,强,相对强度过热,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；长期弱势但短期转强；差价站上60日均线；差价突破60日高点；差价突破120日高点；差价突破250日高点；股价站上20日线；个股20日线高于60日线；股价突破60日高点；股价突破120日高点；股价突破250日高点；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍；成交量超过20日均量1.5倍,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|long_weak_short_turn_positive:+10|spread_above_ma60:+6|spread_breakout_60:+8|spread_breakout_120:+10|spread_breakout_250:+7|stock_above_ma20:+6|stock_ma20_above_ma60:+6|price_breakout_60:+6|price_breakout_120:+7|price_breakout_250:+7|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5|volume_ratio_above_1_5:+5,risk_spread_zscore_hot:-5,250日差价斜率未转正,cache
300373,扬杰科技,2026-05-26,000300,100,B类,同步转强，等待突破延续或回踩确认,97.9,53.392,0.0479,0.20296,0.15106,0.184,250日,250日,1.536,强,一年内涨幅过大,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；差价突破60日高点；差价突破120日高点；差价突破250日高点；股价站上20日线；个股20日线高于60日线；股价突破60日高点；股价突破120日高点；股价突破250日高点；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍；成交量超过20日均量1.5倍,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|spread_breakout_60:+8|spread_breakout_120:+10|spread_breakout_250:+7|stock_above_ma20:+6|stock_ma20_above_ma60:+6|price_breakout_60:+6|price_breakout_120:+7|price_breakout_250:+7|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5|volume_ratio_above_1_5:+5,risk_price_double_from_250_low:-5,,cache
300593,新雷能,2026-05-26,000300,100,B类,同步转强，等待突破延续或回踩确认,40.43,37.328,0.12129,0.0139,0.20342,0.712,250日,250日,1.895,强,一年内涨幅过大,差价位于零轴上方；60日差价斜率转正；120日差价斜率转正；250日差价斜率为正；差价站上60日均线；差价突破60日高点；差价突破120日高点；差价突破250日高点；股价站上20日线；个股20日线高于60日线；股价突破60日高点；股价突破120日高点；股价突破250日高点；指数站上60日线；指数20日线高于60日线；成交量超过20日均量1.2倍；成交量超过20日均量1.5倍,spread_above_zero:+8|spread_slope_60_positive:+10|spread_slope_120_positive:+10|spread_slope_250_positive:+8|spread_above_ma60:+6|spread_breakout_60:+8|spread_breakout_120:+10|spread_breakout_250:+7|stock_above_ma20:+6|stock_ma20_above_ma60:+6|price_breakout_60:+6|price_breakout_120:+7|price_breakout_250:+7|market_above_ma60:+5|market_ma20_above_ma60:+5|volume_ratio_above_1_2:+5|volume_ratio_above_1_5:+5,risk_price_double_from_250_low:-5,,cache
