code,name,source,stage,date_range,error,traceback
001221,悍高集团,stock_fetch,stock_fetch,20220101~20260526,"数据不足：001221, bars=197","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：001221, bars=197
"
001233,海安集团,stock_fetch,stock_fetch,20220101~20260526,"数据不足：001233, bars=119","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：001233, bars=119
"
001237,C惠康,stock_fetch,stock_fetch,20220101~20260526,"数据不足：001237, bars=3","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：001237, bars=3
"
001257,盛龙股份,stock_fetch,stock_fetch,20220101~20260526,"数据不足：001257, bars=37","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：001257, bars=37
"
001280,中国铀业,stock_fetch,stock_fetch,20220101~20260526,"数据不足：001280, bars=113","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：001280, bars=113
"
001365,天海电子,stock_fetch,stock_fetch,20220101~20260526,"数据不足：001365, bars=7","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：001365, bars=7
"
001369,双欣材料,stock_fetch,stock_fetch,20220101~20260526,"数据不足：001369, bars=94","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：001369, bars=94
"
001386,马可波罗,stock_fetch,stock_fetch,20220101~20260526,"数据不足：001386, bars=143","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：001386, bars=143
"
001393,维通利,stock_fetch,stock_fetch,20220101~20260526,"数据不足：001393, bars=8","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：001393, bars=8
"
301275,汉朔科技,stock_fetch,stock_fetch,20220101~20260526,"数据不足：301275, bars=293","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：301275, bars=293
"
301531,春光集团,stock_fetch,stock_fetch,20220101~20260526,"数据不足：301531, bars=12","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：301531, bars=12
"
301563,云汉芯城,stock_fetch,stock_fetch,20220101~20260526,"数据不足：301563, bars=153","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：301563, bars=153
"
301599,理奇智能,stock_fetch,stock_fetch,20220101~20260526,"数据不足：301599, bars=16","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：301599, bars=16
"
301629,矽电股份,stock_fetch,stock_fetch,20220101~20260526,"数据不足：301629, bars=284","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：301629, bars=284
"
301630,同宇新材,stock_fetch,stock_fetch,20220101~20260526,"数据不足：301630, bars=211","Traceback (most recent call last):
  File ""<stdin>"", line 43, in <module>
  File ""/Users/shishuangcheng/Documents/00solo/相对强弱选股/main.py"", line 145, in process_one_stock
    raise ValueError(f""数据不足：{code}, bars={len(merged)}"")
ValueError: 数据不足：301630, bars=211
"
