code,name,mktcap_raw,market_cap_yuan
601939,建设银行,267355589.8511,2673555898511.0
601398,工商银行,253761255.04737,2537612550473.6997
601288,农业银行,220839294.37386,2208392943738.6
600941,中国移动,211448193.76391,2114481937639.0999
601857,中国石油,197662656.04344,1976626560434.4001
300750,宁德时代,191907603.77296,1919076037729.6
601988,中国银行,188494260.91119,1884942609111.9001
600519,贵州茅台,163170809.0145,1631708090145.0
600938,中国海油,162029613.13146,1620296131314.6
601138,工业富联,139067398.72627,1390673987262.7
300308,中际旭创,123762222.54716,1237622225471.6
688981,中芯国际,117168571.46218,1171685714621.8
601088,中国神华,99988292.14144,999882921414.4
601318,中国平安,96459408.907365,964594089073.6499
601628,中国人寿,94573702.93,945737029300.0001
600036,招商银行,93313428.7237,933134287237.0
002594,比亚迪,86813955.21393,868139552139.2999
688256,寒武纪,84191257.846,841912578460.0
601899,紫金矿业,84079839.634764,840798396347.64
688041,海光信息,73632706.384789,736327063847.89
300502,新易盛,69214885.424,692148854240.0
600900,长江电力,66651425.058384,666514250583.84
000333,美的集团,60911526.884109,609115268841.09
601658,邮储银行,59927431.692508,599274316925.08
600028,中国石化,58407023.369226,584070233692.26
601328,交通银行,58231733.802957,582317338029.57
601728,中国电信,54538254.664604,545382546646.04
002475,立讯精密,52208171.309994,522081713099.94
002371,北方华创,47459865.197832,474598651978.32
601998,中信银行,41622581.373472,416225813734.72
603993,XD洛阳钼,41333807.260032,413338072600.32
002384,东山精密,40912617.442284,409126174422.84
688820,盛合晶微,39464732.019042,394647320190.42
600030,中信证券,38192549.178333,381925491783.33
300274,阳光电源,38165749.104416,381657491044.16
601166,兴业银行,38093143.1274,380931431274.00006
688347,华虹公司,37465098.493773,374650984937.73
300476,胜宏科技,37277027.95709,372770279570.89996
688235,百济神州,36898490.607304,368984906073.04
603986,兆易创新,36049285.825518,360492858255.18
600276,XD恒瑞医,33431575.765338,334315757653.38
300394,天孚通信,33395610.234441,333956102344.41003
000858,五 粮 液,32562809.553945,325628095539.45
688008,澜起科技,32449410.55755,324494105575.5
600183,生益科技,32006074.97448,320060749744.8
301666,大普微,31982074.86612,319820748661.2
688795,摩尔线程,31679901.8258,316799018258.0
600000,浦发银行,31407405.5169,314074055169.0
601601,中国太保,31391174.167665,313911741676.65
300059,东方财富,30991717.880675,309917178806.75
603259,药明康德,30622299.681765,306222996817.65
601319,中国人保,30514553.50227,305145535022.7
601869,长飞光纤,30309606.00388,303096060038.8
000338,潍柴动力,29884398.94245,298843989424.5
002415,海康威视,29006818.45575,290068184557.5
688012,中微公司,28615406.565155,286154065651.55
600150,中国船舶,28612412.136976,286124121369.76
002379,宏桥控股,28212370.90733,282123709073.3
688802,沐曦股份,27806950.0,278069500000.0
002916,深南电路,26977602.994975,269776029949.75
601211,国泰海通,26831225.111738,268312251117.38
600930,华电新能,25654285.71411,256542857141.09998
002463,沪电股份,24687659.816173,246876598161.72998
002938,鹏鼎控股,24550478.310456,245504783104.56
601225,陕西煤业,23907870.0,239078700000.0
601816,京沪高铁,23875731.53256,238757315325.59998
300408,三环集团,23571001.165929,235710011659.29
600309,XD万华化,23491059.081504,234910590815.03998
301308,江波龙,23335622.085113,233356220851.13
003816,中国广核,22724452.46295,227244524629.5
601919,中远海控,21958439.886324,219584398863.24
002714,牧原股份,21798830.316992,217988303169.91998
000651,格力电器,21627027.566001,216270275660.01
002050,三花智控,21469287.09637,214692870963.7
300433,蓝思科技,21262768.22436,212627682243.6
600188,兖矿能源,21227942.0223,212279420223.0
000725,京东方Ａ,21189355.652608,211893556526.08
300124,汇川技术,21145149.19099,211451491909.90002
603288,海天味业,20978792.42424,209787924242.4
000001,平安银行,20880767.981048,208807679810.47998
600406,国电南瑞,20537200.490892,205372004908.92
601898,中煤能源,20471376.2896,204713762896.0
600919,江苏银行,20461726.776245,204617267762.45
601600,中国铝业,20311486.051168,203114860511.68
002142,宁波银行,20259816.549856,202598165498.56
601668,中国建筑,19544544.680012,195445446800.12
600690,海尔智家,18905301.3744,189053013744.0
688072,拓荆科技,18855623.9004,188556239004.00003
300760,迈瑞医疗,18671597.4676,186715974676.0
601066,中信建投,18406636.753281,184066367532.81
601336,新华保险,18317977.6352,183179776352.0
600989,宝丰能源,18311399.92,183113999200.00003
601818,光大银行,18257435.277849,182574352778.49
688808,联讯仪器,18143972.058909,181439720589.09
002352,顺丰控股,18005884.851357,180058848513.57
300033,同花顺,17987343.36,179873433600.0
601985,中国核电,17935297.808528,179352978085.28
600025,华能水电,17923112.675234,179231126752.34
600111,北方稀土,17547529.597068,175475295970.68
600031,三一重工,16983173.195139,169831731951.38998
600487,亨通光电,16941648.413333,169416484133.33
600887,伊利股份,16838110.095554,168381100955.54
601688,华泰证券,16690671.140314,166906711403.13998
000063,中兴通讯,16656268.476534,166562684765.34
000792,盐湖股份,16604954.633658,166049546336.58
601766,中国中车,16559244.578776,165592445787.76
302132,中航成飞,16486803.78992,164868037899.2
601995,中金公司,16451291.406144,164512914061.44
002281,光迅科技,16351317.49304,163513174930.4
603256,宏和科技,16275319.31844,162753193184.4
000988,华工科技,16075977.279516,160759772795.16
600176,XD中国巨,15824399.485784,158243994857.84
600809,山西汾酒,15688739.89492,156887398949.2
605117,德业股份,15582776.75424,155827767542.4
002028,思源电气,15478449.282324,154784492823.24
600999,招商证券,15471121.187874,154711211878.74
600584,长电科技,15417595.93512,154175959351.19998
002460,赣锋锂业,15368769.98132,153687699813.19998
600016,民生银行,15280064.057198,152800640571.97998
600362,江西铜业,15277562.13486,152775621348.6
001280,中国铀业,15188727.271392,151887272713.92
001309,德明利,15085236.257,150852362570.0
001289,龙源电力,14964070.93356,149640709335.6
