code,name,trade,mktcap_raw,nmc_raw
920000,安徽凤凰,13.98,128168.64,80516.30715
920001,纬达光电,16.12,247693.800848,142969.92424
920002,DR万达轴,64.11,408407.337705,285912.347883
920003,中诚咨询,28.3,183141.42938,37680.27838
920005,鼎佳精密,30.43,252569.0,65424.5
920006,晟楠科技,16.39,147980.7208,78339.466568
920007,酉立智能,43.88,195408.3906,46700.8258
920008,成电光信,22.05,140568.75,75015.689805
920009,丹娜生物,37.75,292736.15,38052.0
920010,凯添燃气,10.91,255839.5,189286.157623
920011,晨光电机,25.5,210800.00085,47430.00255
920012,创达新材,84.6,417225.0348,163256.9346
920014,特瑞斯,9.86,120150.748598,66108.635828
920015,锦华新材,41.4,561246.00138,165651.5016
920016,中草香料,14.12,108698.483748,48342.951816
920017,星昊医药,16.09,200855.13852,198727.07512
920018,宏远股份,24.89,316923.284796,110073.0382
920019,铜冠矿建,17.6,370069.392,294862.77216
920020,泰凯英,14.64,329319.48,81399.719064
920021,流金科技,9.42,291077.983986,233196.501966
920022,世昌股份,22.93,138316.053,38098.195
920023,*ST田野,2.23,72988.792,59944.30219
920026,卓兆点胶,31.03,254685.694338,191991.779365
920027,交大铁发,15.9,125933.565,67103.565
920028,新恒泰,19.12,314256.32,124202.7552
920029,开发科技,66.26,920263.055542,895465.250542
920030,德众汽车,4.87,87094.924647,54774.857967
920033,康普化学,16.21,193118.24025,134155.512918
920035,精创电气,27.3,189516.6,42633.864
920036,觅睿科技,41.33,224925.410991,53982.257841
920037,广信科技,46.6,596704.01086,192877.54446
920039,国义招标,8.03,123517.46,123517.3797
920045,蘅东光,551.55,3754486.22994,1110134.192925
920046,亿能电力,28.35,286760.25,158553.149895
920047,诺思兰德,29.33,804439.699742,528252.150391
920050,爱舍伦,29.26,198029.731284,52968.356826
920055,XD隆源股,30.55,207740.0,46741.5
920056,能之光,19.74,161259.4158,60885.821094
920057,百甲科技,5.32,96432.074004,61217.601228
920058,华洋赛车,29.82,167159.32002,82286.465016
920060,万源通,28.46,432719.110898,269869.878112
920061,西磁科技,22.0,155738.0,86601.68
920062,科润智控,10.79,203614.072883,143360.23442
920066,科拜尔,22.76,143054.169976,45231.689976
920068,天工股份,17.59,1153200.426385,305507.586101
920069,普昂医疗,37.5,198427.5,55416.50625
920075,柏星龙,18.41,119324.415,64211.988624
920076,国亮新材,20.15,168523.499365,53011.677875
920077,吉林碳谷,15.72,923835.816324,476871.65484
920078,族兴新材,36.0,432000.0,74520.0
920080,奥美森,22.6,187580.0,51925.08426
920082,DR方正阀,9.16,186403.252,50740.737288
920086,科马材料,28.08,234973.44,75098.556
920087,秋乐种业,11.36,187667.2,186356.398
920088,科力股份,34.32,302261.388,111767.30136
920089,禾昌聚合,15.65,235795.42,134303.215315
920090,*ST同辉,4.0,79733.4184,53968.8688
920091,大鹏工业,41.38,254342.9976,60001.8276
920092,汉鑫科技,29.49,183073.0353,97179.538263
920096,嘉晨智能,65.29,450501.0,105769.8
920098,科隆新材,22.64,184109.315416,125370.503296
920099,瑞华技术,29.85,234023.99403,144720.898305
920100,DR三协电,43.0,444331.986,117812.2299
920101,志高机械,29.98,267266.225652,83399.979922
920106,林泰新材,44.17,249973.4895,192823.596126
920108,宏海科技,10.18,175299.6,74281.0677
920110,雷特科技,26.89,104871.0,43666.671
920111,聚星科技,29.27,454137.2215,220368.341875
920112,巴兰仕,28.27,239870.95,65538.341
920116,星图测控,63.4,1418162.9,1362244.1
920118,太湖远大,19.82,102491.202,62114.0962
920119,美德乐,57.71,582712.718783,153320.886683
920121,江天科技,33.91,224037.208553,40326.701134
920122,中纺标,21.84,201456.763872,81627.301392
920123,芭薇股份,11.17,124590.18,71077.944832
920124,南特科技,15.16,225479.70554,116021.616044
920125,鸿仕达,211.0,1184976.0,347760.4729
920128,胜业电气,26.52,215315.88,64443.6
920130,立方控股,15.94,147035.718184,90200.664686
920132,泰鹏智能,11.78,97566.672,33129.15905
920139,华岭股份,18.22,491042.468224,474322.697558
920145,恒合股份,11.6,81838.0,56367.88
920146,华阳变速,5.68,76674.571624,60854.299936
920149,旭杰科技,8.57,65546.08526,54219.821571
920152,昆工科技,16.35,182043.6795,134236.660455
920156,海昌智能,61.01,635236.12,132440.508
920158,长江能科,9.68,193224.416,51686.51488
920159,农大科技,33.89,257564.0,48801.6
920160,北矿检测,21.57,244344.96,54977.616
920161,N龙辰,40.95,556895.188395,151100.7498
